source,target,type
56681438,33205675,friend
56681438,150820027,friend
56681438,125485258,friend
56681438,1708196562,friend
56681438,884706224,friend
56681438,310622367,friend
56681438,13091332,friend
56681438,17450797,friend
56681438,14723621,friend
56681438,442948288,friend
56681438,1143479904,friend
56681438,462096389,friend
56681438,641003,friend
56681438,191225303,friend
56681438,18675320,friend
56681438,23871909,friend
56681438,77306680,friend
56681438,957487736,friend
56681438,14262063,friend
56681438,881105347,friend
56681438,1076163516,friend
56681438,15213007,friend
56681438,990673940,friend
56681438,50789298,friend
56681438,14147603,friend
56681438,35051168,friend
56681438,15076390,friend
56681438,198094340,friend
56681438,14776720,friend
56681438,105168635,friend
56681438,165117459,friend
56681438,15285715,friend
56681438,537662713,friend
56681438,17177462,friend
56681438,95551165,friend
56681438,6040792,friend
56681438,36405625,friend
56681438,67843385,friend
56681438,7078572,friend
56681438,8018572,friend
56681438,224151453,friend
56681438,59795884,friend
56681438,4324751,friend
56681438,23971403,friend
56681438,34778769,friend
56681438,16736130,friend
56681438,15442198,friend
56681438,458169759,friend
56681438,304928205,friend
56681438,125798513,friend
56681438,16402798,friend
56681438,14718006,friend
56681438,570554771,friend
56681438,1405813142,friend
56681438,573600568,friend
56681438,83212310,friend
56681438,311605089,friend
56681438,98871827,friend
56681438,132177876,friend
56681438,1133749243,friend
56681438,61727028,friend
56681438,615597661,friend
56681438,14846645,friend
56681438,14145846,friend
56681438,1278309326,friend
56681438,1010697330,friend
56681438,43891997,friend
56681438,123896927,friend
56681438,742449240,friend
56681438,312699023,friend
56681438,12579252,friend
56681438,14685648,friend
56681438,492167371,friend
56681438,169284011,friend
56681438,5524512,friend
56681438,102641291,friend
56681438,38679388,friend
56681438,56505125,friend
56681438,72915446,friend
56681438,19198198,friend
56681438,264801154,friend
56681438,49423975,friend
56681438,535333042,friend
56681438,356979186,friend
56681438,111551994,friend
56681438,65267820,friend
56681438,150621067,friend
56681438,18055284,friend
56681438,1037021718,friend
56681438,251614179,friend
56681438,1448681082,friend
56681438,33838201,friend
56681438,584719295,friend
56681438,21705769,friend
56681438,50090898,friend
56681438,1369949923,friend
56681438,60556690,friend
56681438,484982241,friend
56681438,574752666,friend
56681438,13085242,friend
56681438,132373965,friend
56681438,1418009233,friend
56681438,39725403,friend
56681438,372237180,friend
56681438,106168820,friend
56681438,226553432,friend
56681438,1055374230,friend
56681438,252822331,friend
56681438,15492359,friend
56681438,505083,friend
56681438,101507064,friend
56681438,1260263862,friend
56681438,212394045,friend
56681438,112462189,friend
56681438,11955372,friend
56681438,160933874,friend
56681438,5388852,friend
56681438,802833505,friend
56681438,464169125,friend
56681438,43127170,friend
56681438,44614050,friend
56681438,31361500,friend
56681438,302666251,friend
56681438,8633582,friend
56681438,20081845,friend
56681438,157378690,friend
56681438,107471115,friend
56681438,245419980,friend
56681438,1381038708,friend
56681438,275805969,friend
56681438,11140902,friend
56681438,481253508,friend
56681438,50612886,friend
56681438,186133487,friend
56681438,1497,friend
56681438,1381630009,friend
56681438,1322077904,friend
56681438,1354750003,friend
56681438,227375927,friend
56681438,53293298,friend
56681438,173646113,friend
56681438,1353858961,friend
56681438,208989319,friend
56681438,86510645,friend
56681438,960238364,friend
56681438,45363552,friend
56681438,31143368,friend
56681438,53085369,friend
56681438,338417053,friend
56681438,295393371,friend
56681438,61215066,friend
56681438,549143372,friend
56681438,28879423,friend
56681438,336762715,friend
56681438,421261660,friend
56681438,156651229,friend
56681438,37291805,friend
56681438,334777310,friend
56681438,516866444,friend
56681438,1213604838,friend
56681438,328546914,friend
56681438,743069876,friend
56681438,376825877,friend
56681438,430604921,friend
56681438,100264106,friend
56681438,374125586,friend
56681438,368773326,friend
56681438,912762158,friend
56681438,1139210491,friend
56681438,1226035687,friend
56681438,16784555,friend
56681438,1239031171,friend
56681438,1009269997,friend
56681438,563228900,friend
56681438,156599036,friend
56681438,1245705558,friend
56681438,171534539,friend
56681438,326941825,friend
56681438,21361155,friend
56681438,7662442,friend
56681438,44405933,friend
56681438,513577685,friend
56681438,928385076,friend
56681438,478939386,friend
56681438,162708786,friend
56681438,15973392,friend
56681438,421291260,friend
56681438,497003704,friend
56681438,15948437,friend
56681438,515380651,friend
56681438,155223482,friend
56681438,1100842957,friend
56681438,30315557,friend
56681438,17429881,friend
56681438,1050774624,friend
56681438,711914875,friend
56681438,51836146,friend
56681438,87818409,friend
56681438,429202559,friend
56681438,869861376,friend
56681438,6253282,friend
56681438,1001773213,friend
56681438,121403896,friend
56681438,116429454,friend
56681438,111841003,friend
56681438,94666311,friend
56681438,122014351,friend
56681438,947344730,friend
56681438,592897080,friend
56681438,99925189,friend
56681438,872628516,friend
56681438,24908524,friend
56681438,29045944,friend
56681438,14511951,friend
56681438,15134782,friend
56681438,523391242,friend
56681438,430234009,friend
56681438,17675072,friend
56681438,437533038,friend
56681438,13294452,friend
56681438,14108472,friend
56681438,121424128,friend
56681438,104762476,friend
56681438,20664366,friend
56681438,108382988,friend
56681438,19663706,friend
56681438,211643815,friend
56681438,566888485,friend
56681438,238107344,friend
56681438,431547715,friend
56681438,486046649,friend
56681438,12997082,friend
56681438,137689695,friend
56681438,18903143,friend
56681438,22412376,friend
56681438,579875848,friend
56681438,14711301,friend
56681438,128560670,friend
56681438,276900334,friend
56681438,288043658,friend
56681438,15110431,friend
56681438,3080761,friend
56681438,21997326,friend
56681438,24417275,friend
56681438,13239112,friend
56681438,32359921,friend
56681438,50279270,friend
56681438,289400495,friend
56681438,783214,friend
56681438,80799167,friend
56681438,51678300,friend
56681438,410297136,friend
56681438,9583842,friend
56681438,2384071,friend
56681438,134056689,friend
56681438,14637453,friend
56681438,37060788,friend
56681438,454302200,friend
56681438,339006217,friend
56681438,501813967,friend
56681438,14464766,friend
56681438,17915138,friend
56681438,3108351,friend
56681438,542549005,friend
56681438,14935145,friend
56681438,84121002,friend
56681438,87657907,friend
56681438,513660315,friend
56681438,541513751,friend
56681438,15047521,friend
56681438,16206570,friend
56681438,167436277,friend
56681438,17990493,friend
56681438,150725695,friend
56681438,420627699,friend
56681438,157981564,friend
56681438,454004007,friend
56681438,52072744,friend
56681438,74395114,friend
56681438,201658727,friend
56681438,126677638,friend
56681438,409821771,friend
56681438,187515095,friend
56681438,488357978,friend
56681438,425408180,friend
56681438,58430129,friend
56681438,409500620,friend
56681438,414149333,friend
56681438,200661860,friend
56681438,393302633,friend
56681438,425902454,friend
56681438,348761392,friend
56681438,2812961,friend
56681438,472855466,friend
56681438,424931124,friend
56681438,53416618,friend
56681438,29416653,friend
56681438,132880191,friend
56681438,399356077,friend
56681438,53632842,friend
56681438,440815818,friend
56681438,484978686,friend
56681438,268245102,friend
56681438,41791694,friend
56681438,419755801,friend
56681438,482897816,friend
56681438,376297519,friend
56681438,381460162,friend
56681438,472966889,friend
56681438,494076550,friend
56681438,461150729,friend
56681438,215087363,friend
56681438,69645688,friend
56681438,485586578,friend
56681438,19501233,friend
56681438,19709510,friend
56681438,304467533,friend
56681438,27869848,friend
56681438,416428550,friend
56681438,228089463,friend
56681438,8576492,friend
56681438,372744592,friend
56681438,12833842,friend
56681438,407543535,friend
56681438,22248804,friend
56681438,55237452,friend
56681438,214476890,friend
56681438,339672122,friend
56681438,427433698,friend
56681438,138736601,friend
56681438,372273460,friend
56681438,478720395,friend
56681438,87967184,friend
56681438,14853904,friend
56681438,460264679,friend
56681438,422008822,friend
56681438,14138785,friend
56681438,9799222,friend
56681438,19712106,friend
56681438,6062112,friend
56681438,419622371,friend
56681438,381656189,friend
56681438,101858989,friend
56681438,348493456,friend
56681438,75035441,friend
56681438,69627432,friend
56681438,71025220,friend
56681438,14516324,friend
56681438,408608798,friend
56681438,266737320,friend
56681438,92556620,friend
56681438,448980118,friend
56681438,408439916,friend
56681438,391485689,friend
56681438,436837074,friend
56681438,271476597,friend
56681438,144210805,friend
56681438,17342019,friend
56681438,445637991,friend
56681438,81685180,friend
56681438,117538279,friend
56681438,161874753,friend
56681438,332894847,friend
56681438,368938478,friend
56681438,230874948,friend
56681438,73141930,friend
56681438,53077199,friend
56681438,210573372,friend
56681438,378611487,friend
56681438,14788200,friend
56681438,123899370,friend
56681438,17054817,friend
56681438,465683082,friend
56681438,67006079,friend
56681438,402048742,friend
56681438,461578921,friend
56681438,14993569,friend
56681438,311355879,friend
56681438,304289333,friend
56681438,63460590,friend
56681438,280615635,friend
56681438,139689662,friend
56681438,101532373,friend
56681438,27231018,friend
56681438,47211010,friend
56681438,415701582,friend
56681438,432340145,friend
56681438,451586190,friend
56681438,51752908,friend
56681438,333410580,friend
56681438,107505580,friend
56681438,364399380,friend
56681438,28321706,friend
56681438,14078646,friend
56681438,226674367,friend
56681438,302651080,friend
56681438,76616277,friend
56681438,405384428,friend
56681438,8841372,friend
56681438,408418443,friend
56681438,420942860,friend
56681438,39941540,friend
56681438,7414282,friend
56681438,16343974,friend
56681438,9940892,friend
56681438,376218450,friend
56681438,311539656,friend
56681438,399004979,friend
56681438,85852409,friend
56681438,109573130,friend
56681438,73128871,friend
56681438,413916151,friend
56681438,39514461,friend
56681438,395218906,friend
56681438,78720588,friend
56681438,437131224,friend
56681438,307423967,friend
56681438,135437424,friend
56681438,267064837,friend
56681438,33196091,friend
56681438,130114950,friend
56681438,5943942,friend
56681438,395990396,friend
56681438,372344749,friend
56681438,196210052,friend
56681438,382238648,friend
56681438,388067041,friend
56681438,212364488,friend
56681438,403544693,friend
56681438,54556994,friend
56681438,70987117,friend
56681438,135439006,friend
56681438,329492939,friend
56681438,226103203,friend
56681438,414697743,friend
56681438,19224439,friend
56681438,396508806,friend
56681438,76615199,friend
56681438,148352085,friend
56681438,145225789,friend
56681438,39484463,friend
56681438,105096999,friend
56681438,7912442,friend
56681438,214426336,friend
56681438,18282433,friend
56681438,271461839,friend
56681438,89674237,friend
56681438,93077846,friend
56681438,135813166,friend
56681438,123920914,friend
56681438,55212559,friend
56681438,140419227,friend
56681438,400630735,friend
56681438,418028983,friend
56681438,161396461,friend
56681438,11840202,friend
56681438,100297945,friend
56681438,370009808,friend
56681438,143356398,friend
56681438,72502915,friend
56681438,317769975,friend
56681438,233231981,friend
56681438,7996082,friend
56681438,376103840,friend
56681438,148722930,friend
56681438,132200388,friend
56681438,314059678,friend
56681438,204257775,friend
56681438,234822279,friend
56681438,112717399,friend
56681438,17414609,friend
56681438,151029385,friend
56681438,153725655,friend
56681438,30248306,friend
56681438,61227039,friend
56681438,673203,friend
56681438,30216347,friend
56681438,5539492,friend
56681438,380473676,friend
56681438,177693905,friend
56681438,35525950,friend
56681438,23576147,friend
56681438,121145156,friend
56681438,376111687,friend
56681438,220708782,friend
56681438,363728511,friend
56681438,370797063,friend
56681438,358827787,friend
56681438,131969855,friend
56681438,386294858,friend
56681438,259680414,friend
56681438,156931889,friend
56681438,210951712,friend
56681438,130537001,friend
56681438,87066736,friend
56681438,313885927,friend
56681438,227706951,friend
56681438,244749771,friend
56681438,274087932,friend
56681438,334321591,friend
56681438,320603385,friend
56681438,28098604,friend
56681438,10228272,friend
56681438,274093178,friend
56681438,37917164,friend
56681438,50354243,friend
56681438,90194127,friend
56681438,365462238,friend
56681438,202974263,friend
56681438,207983131,friend
56681438,384927198,friend
56681438,177592602,friend
56681438,92525639,friend
56681438,38138840,friend
56681438,85581776,friend
56681438,177610735,friend
56681438,8821412,friend
56681438,377872873,friend
56681438,234382704,friend
56681438,14146095,friend
56681438,20608701,friend
56681438,246910613,friend
56681438,161801527,friend
56681438,5974492,friend
56681438,62231286,friend
56681438,24898191,friend
56681438,18935802,friend
56681438,12790742,friend
56681438,40006630,friend
56681438,80032149,friend
56681438,274095255,friend
56681438,97035806,friend
56681438,34051158,friend
56681438,135486484,friend
56681438,43808848,friend
56681438,49954018,friend
56681438,200028163,friend
56681438,117151289,friend
56681438,111341462,friend
56681438,150180094,friend
56681438,25676606,friend
56681438,149060372,friend
56681438,24534434,friend
56681438,271027841,friend
56681438,14978954,friend
56681438,36374014,friend
56681438,272701723,friend
56681438,23177997,friend
56681438,244582282,friend
56681438,34960648,friend
56681438,221340034,friend
56681438,307761696,friend
56681438,18762875,friend
56681438,8102582,friend
56681438,91311810,friend
56681438,215656501,friend
56681438,321281844,friend
56681438,97641502,friend
56681438,6361512,friend
56681438,1435461,friend
56681438,220245166,friend
56681438,65647703,friend
56681438,335953039,friend
56681438,338682539,friend
56681438,233544304,friend
56681438,86522812,friend
56681438,84603034,friend
56681438,29236618,friend
56681438,72248630,friend
56681438,113764203,friend
56681438,146448681,friend
56681438,140084968,friend
56681438,274923404,friend
56681438,278489445,friend
56681438,259401680,friend
56681438,83035851,friend
56681438,337074432,friend
56681438,17248121,friend
56681438,29963394,friend
56681438,2553151,friend
56681438,274049314,friend
56681438,39461490,friend
56681438,322544425,friend
56681438,7905122,friend
56681438,100459284,friend
56681438,16735106,friend
56681438,108369004,friend
56681438,25524381,friend
56681438,31093748,friend
56681438,163573983,friend
56681438,90900909,friend
56681438,125376632,friend
56681438,20209231,friend
56681438,37621971,friend
56681438,58453980,friend
56681438,195910497,friend
56681438,94818435,friend
56681438,257985537,friend
56681438,309130335,friend
56681438,20518035,friend
56681438,14992973,friend
56681438,24157189,friend
56681438,40043813,friend
56681438,5988062,friend
56681438,243736574,friend
56681438,27111194,friend
56681438,198052602,friend
56681438,7151052,friend
56681438,20536157,friend
56681438,140171566,friend
56681438,288473803,friend
56681438,14125630,friend
56681438,288126683,friend
56681438,254462097,friend
56681438,16562213,friend
56681438,163567416,friend
56681438,49922218,friend
56681438,67304883,friend
56681438,58613507,friend
56681438,306887211,friend
56681438,26347170,friend
56681438,306871364,friend
56681438,20609518,friend
56681438,50393960,friend
56681438,194223032,friend
56681438,302616644,friend
56681438,16362921,friend
56681438,73637722,friend
56681438,104504815,friend
56681438,242850540,friend
56681438,10937212,friend
56681438,47663009,friend
56681438,8963722,friend
56681438,45937235,friend
56681438,98732981,friend
56681438,59569960,friend
56681438,279670930,friend
56681438,244268124,friend
56681438,69108137,friend
56681438,211550281,friend
56681438,1652541,friend
56681438,97873450,friend
56681438,18956725,friend
56681438,76329167,friend
56681438,28315879,friend
56681438,102553,friend
56681438,6566922,friend
56681438,28543386,friend
56681438,19386622,friend
56681438,259732177,friend
56681438,244602887,friend
56681438,189269558,friend
56681438,215728045,friend
56681438,117017147,friend
56681438,103042676,friend
56681438,9287412,friend
56681438,236117470,friend
56681438,28822067,friend
56681438,127492940,friend
56681438,39964771,friend
56681438,76631753,friend
56681438,138104217,friend
56681438,778057,friend
56681438,152278102,friend
56681438,239813242,friend
56681438,8873182,friend
56681438,73087558,friend
56681438,11348282,friend
56681438,2142731,friend
56681438,20910977,friend
56681438,58768691,friend
56681438,193327503,friend
56681438,122888810,friend
56681438,22873,friend
56681438,628413,friend
56681438,14942383,friend
56681438,52765117,friend
56681438,15485441,friend
56681438,17336414,friend
56681438,20430345,friend
56681438,98867845,friend
56681438,61291398,friend
56681438,139737713,friend
56681438,28528873,friend
56681438,173116059,friend
56681438,91886953,friend
56681438,161051816,friend
56681438,75576699,friend
56681438,88662134,friend
56681438,135527837,friend
56681438,59793549,friend
56681438,19968827,friend
56681438,469153,friend
56681438,455483,friend
56681438,5405822,friend
56681438,16867526,friend
56681438,134042746,friend
56681438,52352494,friend
56681438,21037316,friend
56681438,24253645,friend
56681438,51757652,friend
56681438,394613,friend
56681438,15254807,friend
56681438,22123270,friend
56681438,91143053,friend
56681438,61154684,friend
56681438,133790890,friend
56681438,49133677,friend
56681438,22048217,friend
56681438,70388928,friend
56681438,119711344,friend
56681438,19258627,friend
56681438,14706299,friend
56681438,7111232,friend
56681438,17214580,friend
56681438,35298549,friend
56681438,37631819,friend
56681438,7404632,friend
56681438,15234407,friend
56681438,25735272,friend
56681438,73971750,friend
56681438,19392607,friend
56681438,121425704,friend
56681438,100610543,friend
56681438,25508589,friend
56681438,53070495,friend
56681438,14647570,friend
56681438,29416670,friend
56681438,19067940,friend
56681438,32011689,friend
56681438,41667342,friend
56681438,52424550,friend
56681438,84937798,friend
56681438,88301531,friend
56681438,19925410,friend
56681438,87465337,friend
56681438,20362516,friend
